"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789645234831540402","Mon May 13 04:40:59 +0000 2024","0","@SiaranBolaLive ksih u23 yg maen kalo masih fiprotes ksi pemain liga lokal aja toh gak penting² amat fokus di kualifikasi piala dunia aja lebih masok akal....","1789878484740804677","","SiaranBolaLive","in","Nusa Tenggara Timur, Indonesia","0","0","0","https://twitter.com/Ipur6661/status/1789878484740804677","1950673182","Ipur6661"
"1789878387722359057","Mon May 13 04:40:36 +0000 2024","11","Mau TimNas U23 menang ataupun kalah aye sbgai fans timnas sejak kecil ga akan pernah lupa perihal penolakan World Cup U 20 2023 benar2 membuat malu NKRI di kancah internasional. 16% itu hukuman. Kita lihat gmn masib Koster. @snjayajonggrang @BBerizik @BuayaUbanan #MenolakLupa https://t.co/P9UqC3omN1","1789878387722359057","https://pbs.twimg.com/media/GNbs6HKagAElFUU.jpg","","in","Brussel, Belgia","1","2","3","https://twitter.com/H1m4_W4r1/status/1789878387722359057","1379044492464943104","H1m4_W4r1"
"1789854654169289181","Mon May 13 04:31:12 +0000 2024","0","@Indostransfer u23 ditangguhkan apa dipake lagi di championship series?","1789876023032447336","","Indostransfer","in","","0","0","0","https://twitter.com/hashslingingggg/status/1789876023032447336","1261325948412022784","hashslingingggg"
"1789849800109953267","Mon May 13 04:16:11 +0000 2024","0","@Jumianto_RK @CNNIndonesia Piala AFC U23 lokal engga sehebat naturalisasi","1789872243092103646","","Jumianto_RK","in","","0","1","1","https://twitter.com/ekopras96808127/status/1789872243092103646","1576841477140848642","ekopras96808127"
"1789816718753194494","Mon May 13 04:06:32 +0000 2024","0","Beberapa pertandingan besar dan penghargaan yang didapatkan oleh Seol Youngwoo dan timnya: Ulsan HD - AFC Champions League: 2020 - K League 1: 2022 2023 - Korean FA Cup runner-up: 2020 South Korea U23 - Asian Games: 2022","1789869812308406741","","zharnghaou","in","GSPers.","0","1","0","https://twitter.com/zharnghaou/status/1789869812308406741","1345071573187772417","zharnghaou"
"1789551220220457088","Mon May 13 04:04:19 +0000 2024","0","@reh_wulang @AugotaReynaldi @SiaranBolaLive Ivar timnas u23 vs irak dan ivar timnas u23 vs turkmenistan tersenyum liat komenmu ","1789869255061557584","","reh_wulang","in","","0","0","0","https://twitter.com/OnixRock1902/status/1789869255061557584","2979175428","OnixRock1902"
"1789866830976155767","Mon May 13 03:54:41 +0000 2024","0","yg blg gw fomo sini monyet sblm u23 gw nonton pepe trs gw masih inget bgttt gw nobar ama oma gw pas 2010 krn indonesia smpet maen bagus tu enk bgt cocot lu blg gw faking fomoan gw suka dr jaman irfan bachdim bp sm Gonzalez https://t.co/WOTSJJP3Cp","1789866830976155767","https://pbs.twimg.com/media/GNbiY-Ya4AAgDYt.jpg","","in","","0","0","0","https://twitter.com/stobelscocktail/status/1789866830976155767","1141208428091564032","stobelscocktail"
"1789864046365143121","Mon May 13 03:43:37 +0000 2024","0","Fans fomo ya g tahu min kenapa elkan g gabung timnas u23","1789864046365143121","","","in","Merauke - Jakarta","0","0","0","https://twitter.com/muhkamz/status/1789864046365143121","837565698","muhkamz"
"1789853805590315390","Mon May 13 03:41:19 +0000 2024","0","@Bolalob Pakai pemain2 dari u20 dan beberapa pemain u23 di tambah pemain senior yg main di Liga 1","1789863466825580974","","Bolalob","in","DIY,Daerah Istimewa Yogyakarta","0","0","0","https://twitter.com/aardwi15/status/1789863466825580974","1923596941","aardwi15"
"1789058037002428830","Mon May 13 03:17:36 +0000 2024","0","@PantauManCity Ini kalau lawan tim u23 . Bakal menang ini akademi city .","1789857501275443582","","PantauManCity","in","","0","0","0","https://twitter.com/Emonal10/status/1789857501275443582","1521021162649579523","Emonal10"
"1789846131201241577","Mon May 13 03:12:20 +0000 2024","9","@rhnMuhammad_ @Indostransfer Memang benar darurat RB ngak cuma di Senior di U23 juga gitu. Opsi paling bagus sebenarnya Kevik Diks &amp; Tristan Goojeir. Tapi Tristan masih kehadang restu keluarga nya RMS. Opsi lain ada Luca Everink. Tinggal tergantung PSSI &amp; STY aja ini beneran butuh banget atau ngak.","1789856172431770099","","rhnMuhammad_","in","ID 🇮🇩 MY 🇲🇾","0","0","0","https://twitter.com/sansan_3110/status/1789856172431770099","1078533574201008128","sansan_3110"
"1789851955231101084","Mon May 13 03:03:05 +0000 2024","5","@womensfootie_id kalo gitu ga malu napa ama uzbek... yg cowok aja kalah telak kemarin waktu U23 asian cup","1789853846828699811","","womensfootie_id","in","Bali, ID","0","0","0","https://twitter.com/gdbjn15/status/1789853846828699811","876681636","gdbjn15"
"1789852985633202280","Mon May 13 02:59:40 +0000 2024","1","Nobar semi final Piala Asia U23 antara Timnas Indonesia U23 vs Uzbekistan U23 di Polsek Wasior Polres Teluk Wondama https://t.co/bMrNOVaGP7","1789852985633202280","https://pbs.twimg.com/media/GNbUrNTaoAA6yjQ.jpg","","in","","0","0","0","https://twitter.com/PolresTW/status/1789852985633202280","1468109313977683978","PolresTW"
"1789849104123671029","Mon May 13 02:44:14 +0000 2024","1","NEW Member dapatkan bonus 50% Ayo segera Daftarkan diri anda untuk claim bonusnya!!! Link join di bawah ini https://t.co/3sJkWOV2p2 #stasiunplay #slotgacorindonesia #u23 #timnasindonesia #viral #fyp #lambeturah #artisviral https://t.co/UzSkIWP0JA","1789849104123671029","https://pbs.twimg.com/media/GNbRtl7aQAALGfo.jpg","","in","INDONESIA","0","0","4","https://twitter.com/stasiunplay88/status/1789849104123671029","1518529392645128192","stasiunplay88"
"1789645234831540402","Mon May 13 02:13:27 +0000 2024","0","@SiaranBolaLive Kalo emng pinter karena ini turnamen d tgh2 kualifikasi pildun yg main bkn skuad utama atau ga pake abboard kita pake full pemain liga 1 atau u23 aja","1789841354090062296","","SiaranBolaLive","in","","0","0","0","https://twitter.com/nir12345535/status/1789841354090062296","562512623","nir12345535"
"1789836576467386491","Mon May 13 01:54:28 +0000 2024","0","Timnas 🇮🇩 U23 lawan @juventusfc saya yakin Timnas 🇮🇩 U23 bisa menang telak lah... Juventus sekarang dah kek tim medioker ga layak di posisi 4 besar tim Serie A","1789836576467386491","","","in","Indonesia","0","1","0","https://twitter.com/aand_tjg/status/1789836576467386491","2387537562","aand_tjg"
"1789642962118558135","Mon May 13 01:48:33 +0000 2024","0","@kutamparr @tanyakanrl Ini adalah salah satu generasi emas u23 tapi sayang blom rejeki ke olimpiade semoga diganti dengan piala dunia","1789835088680603974","","kutamparr","in","batam","0","0","0","https://twitter.com/RifqyNovyd/status/1789835088680603974","856459739135229952","RifqyNovyd"
"1789634236447932791","Mon May 13 01:45:11 +0000 2024","1","@lachibolala0613 Nathan Tjoe A On pemain timnas u23","1789834243066978567","","lachibolala0613","in","","0","0","0","https://twitter.com/riapjm_/status/1789834243066978567","1160415563035729920","riapjm_"
"1789830388564529376","Mon May 13 01:29:52 +0000 2024","11","Klu menang so pasti pak ganjar akan ke bawa bawa oleh buzzer gemoy dlm narasi soal PD U20. Bgt kalah rasis ke guinea &amp; isu PD U20 senyap seketika. #TimnasIndonesia luar biasa catat sejarah U23 pertama kali capai semifinal piala Asia dan kualifikasi Olimpik setelah tahun 1956. https://t.co/wbsCVeZEdg","1789830388564529376","https://pbs.twimg.com/ext_tw_video_thumb/1789830351139033088/pu/img/AgKSqedqzsb9YVV9.jpg","","in","Indonesia","1","3","1","https://twitter.com/3rwin__34/status/1789830388564529376","1385407713987874820","3rwin__34"
"1789822936347447742","Mon May 13 01:00:15 +0000 2024","2","Dhuha time 12 Raka'at. #sempetin ️️️ Emak Rakjel. yatim Berjualan. ricis sumbar subang study tour kecelakaan po Bus banjir pray for korea gempa guinea witan bola MU gibran prabowo mahalini raf gaza u23","1789822936347447742","","","in","","0","0","1","https://twitter.com/NurilHiLma2022/status/1789822936347447742","1317084070468177920","NurilHiLma2022"
"1789822436441038946","Mon May 13 00:58:16 +0000 2024","2","sakit muriang baru 3 hari bdn udh turun sekilo .. cepet bngt ️ Emak Rakjel. ricis sumbar subang kecelakaan po Bus banjir pray for korea gempa guinea witan bola MU gibran prabowo mahalini raf gaza u23","1789822436441038946","","","in","","0","0","1","https://twitter.com/NurilHiLma2022/status/1789822436441038946","1317084070468177920","NurilHiLma2022"
"1789456316366467121","Sun May 12 14:05:23 +0000 2024","0","@everyoneislier @maliikedgar @ShofwanMuis @Indostransfer Padahal gw sendiri ga ada bilang spesifik pas lawan uzbek lo gw bilang u23 lawan uzbek gw tau kali ampas semua wkwkw cil cil","1789658129862738355","","everyoneislier","in","","0","0","0","https://twitter.com/chemat_1st/status/1789658129862738355","1937801844","chemat_1st"
